variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_82x82_1,generated 82*82,6.700000,5,82,82,289,11.503916,11.499949,11.467042,11.567569,27831582,27821985,27742371,27985578,4139.140690,0.584497,0.506759,7137766.200000,164233.600000,0.023009,1547836.600000,80.800000,5186749.800000,3.000000,0.000001,1542365.400000,0.000000,0.000000,319.200000,217.800000,0.682331,4.600000,0.600000,0.130435,3.400000,815785.600000,3030.600000,0.003715,40128651.600000,1.441839
gen_85x85_1,generated 85*85,6.700000,5,85,85,289,12.350453,12.318001,12.312065,12.408298,29879606,29801095,29786735,30019551,4135.585606,0.584999,0.507194,8560163.400000,191375.200000,0.022356,1556218.000000,81.400000,5222304.600000,13.400000,0.000003,1544832.000000,0.400000,0.000000,351.000000,251.400000,0.716239,4.400000,0.600000,0.136364,7.800000,989800.200000,1535.400000,0.001551,40017531.800000,1.339292
gen_88x88_1,generated 88*88,6.700000,5,88,88,289,13.187597,13.181197,13.171628,13.213143,31904833,31889349,31866199,31966637,4119.942278,0.587218,0.509118,9837335.400000,218812.600000,0.022243,1589007.600000,86.000000,5234159.000000,9.200000,0.000002,1543826.600000,0.000000,0.000000,399.200000,282.400000,0.707415,2.200000,0.400000,0.181818,0.800000,991399.200000,1121.400000,0.001131,40289467.000000,1.262801
gen_91x91_1,generated 91*91,6.700000,5,91,91,289,14.317930,14.307209,14.282849,14.396872,34639660,34613724,34554789,34830647,4183.028620,0.578366,0.501443,10291852.600000,250826.600000,0.024371,1944720.400000,255.800000,5191370.000000,20.600000,0.000004,1515397.000000,4.000000,0.000003,455.800000,358.600000,0.786749,2.800000,1.400000,0.500000,3.000000,980427.200000,3805.200000,0.003881,39900894.200000,1.151885
gen_94x94_1,generated 94*94,6.700000,5,94,94,289,15.154644,15.159999,15.067328,15.256913,36663813,36676769,36452568,36911233,4149.367700,0.583056,0.505509,9717072.400000,247955.400000,0.025518,2560409.400000,189.800000,5219070.800000,31.600000,0.000006,1554467.200000,15.400000,0.000010,385.800000,303.000000,0.785381,5.800000,2.000000,0.344828,3.200000,993935.400000,1256.000000,0.001264,40464043.400000,1.103651
gen_97x97_1,generated 97*97,6.700000,5,97,97,289,16.077292,16.084876,16.040532,16.097317,38895996,38914344,38807061,38944442,4133.913912,0.585235,0.507399,9934249.000000,285394.600000,0.028728,2982525.600000,204.600000,5226675.000000,38.000000,0.000007,1556673.400000,13.000000,0.000008,343.000000,301.600000,0.879300,5.000000,4.200000,0.840000,4.600000,969231.600000,478.600000,0.000494,40644754.200000,1.044960
gen_100x100_1,generated 100*100,6.700000,5,100,100,289,17.105342,17.092439,17.082041,17.163428,41383190,41351972,41326816,41523717,4138.319000,0.584613,0.506859,9356000.000000,288564.200000,0.030843,3137621.800000,236.400000,7053370.200000,40.000000,0.000006,1558908.800000,15.200000,0.000010,317.200000,279.000000,0.879571,5.200000,4.200000,0.807692,4.000000,1010430.000000,886.800000,0.000878,40131548.400000,0.969755
gen_103x103_1,generated 103*103,6.700000,5,103,103,289,18.197286,18.210974,18.132599,18.226352,44025047,44058164,43868550,44095368,4149.782920,0.582999,0.505460,10419489.600000,319428.200000,0.030657,3114034.400000,294.400000,7811913.200000,46.200000,0.000006,1557738.800000,19.600000,0.000013,333.000000,318.800000,0.957357,6.600000,4.800000,0.727273,5.800000,1015049.800000,1013.400000,0.000998,40141883.000000,0.911796
gen_106x106_1,generated 106*106,6.700000,5,106,106,289,19.290637,19.288446,19.217468,19.371127,46670079,46664779,46493061,46864810,4153.620417,0.582459,0.504992,9226446.400000,288433.600000,0.031262,3144357.000000,207.200000,10504495.800000,69.200000,0.000007,2383637.600000,12.200000,0.000005,268.600000,226.200000,0.842144,7.000000,4.800000,0.685714,10.600000,1085722.800000,986.200000,0.000908,41164647.200000,0.882035
gen_109x109_1,generated 109*109,6.700000,5,109,109,289,20.377819,20.374004,20.339136,20.449545,49300489,49291259,49206902,49474016,4149.523525,0.583036,0.505492,9874363.600000,300405.200000,0.030423,3160555.200000,193.400000,10478527.000000,87.600000,0.000008,2801121.800000,18.800000,0.000007,270.800000,269.200000,0.994092,7.000000,5.000000,0.714286,6.400000,1235803.400000,1096.800000,0.000888,49909882.600000,1.012361
gen_112x112_1,generated 112*112,6.700000,5,112,112,289,21.576209,21.595122,21.509386,21.621801,52199677,52245435,52038011,52309979,4161.326291,0.581381,0.504057,11811315.000000,321064.800000,0.027183,3166220.800000,216.400000,10428312.200000,76.800000,0.000007,3136065.200000,20.600000,0.000007,262.800000,234.400000,0.891933,7.000000,5.200000,0.742857,7.400000,1329454.200000,1211.000000,0.000911,58439647.600000,1.119540
gen_115x115_1,generated 115*115,6.700000,5,115,115,289,22.787801,22.803602,22.697005,22.852703,55130911,55169139,54911247,55287930,4168.688922,0.580354,0.503167,13895604.600000,373386.400000,0.026871,3135062.200000,161.000000,10400291.000000,77.000000,0.000007,3150860.200000,36.600000,0.000012,286.000000,251.200000,0.878322,8.800000,6.200000,0.704545,6.800000,1523025.600000,3393.600000,0.002228,69949701.200000,1.268793
gen_118x118_1,generated 118*118,6.700000,5,118,118,289,24.016400,23.980318,23.953792,24.118912,58103196,58015903,57951729,58351206,4172.881069,0.579770,0.502661,15918214.600000,429644.200000,0.026991,3127959.800000,149.400000,10421902.600000,81.600000,0.000008,3126734.600000,40.200000,0.000013,299.600000,250.600000,0.836449,3.800000,3.200000,0.842105,11.200000,1803866.600000,2381.200000,0.001320,81236922.800000,1.398149
gen_121x121_1,generated 121*121,6.700000,5,121,121,289,25.248249,25.247517,25.155284,25.357979,61083699,61081927,60858787,61349171,4172.098832,0.579882,0.502758,18000253.400000,485556.800000,0.026975,3128453.200000,123.200000,10474464.400000,81.400000,0.000008,3129875.800000,46.600000,0.000015,325.000000,269.800000,0.830154,10.600000,4.400000,0.415094,10.600000,2021904.800000,2903.400000,0.001436,80906960.200000,1.324526
gen_124x124_1,generated 124*124,6.700000,5,124,124,289,26.646904,26.659309,26.484883,26.782491,64467500,64497514,64075521,64795530,4192.735432,0.577028,0.500283,18578307.000000,538344.800000,0.028977,3557641.600000,220.200000,10483835.400000,76.000000,0.000007,3113738.400000,54.400000,0.000017,375.000000,308.200000,0.821867,4.200000,9.000000,2.142857,6.600000,1967651.000000,1422.000000,0.000723,80611086.000000,1.250414
gen_127x127_1,generated 127*127,6.700000,5,127,127,289,27.796847,27.790333,27.758074,27.854637,67249333,67233575,67155530,67389145,4169.466985,0.580246,0.503073,19070325.800000,550548.600000,0.028869,4065296.000000,157.800000,10453843.600000,78.400000,0.000007,3141974.400000,0.000000,0.000000,389.800000,321.200000,0.824012,6.800000,6.800000,1.000000,8.200000,1989959.000000,1377.400000,0.000692,81303096.800000,1.208980
gen_130x130_1,generated 130*130,6.700000,5,130,130,289,29.326206,29.293159,29.287072,29.465741,70949108,70869157,70854431,71286686,4198.172071,0.576276,0.499632,19354674.200000,573477.600000,0.029630,4712168.400000,96.400000,10438320.800000,85.200000,0.000008,3120755.200000,0.000000,0.000000,387.800000,317.400000,0.818463,7.400000,10.800000,1.459459,0.200000,1999517.000000,1799.800000,0.000900,81238323.000000,1.145022
gen_133x133_1,generated 133*133,6.700000,5,133,133,289,30.881988,30.875316,30.829337,30.953660,74713501,74697359,74586121,74886899,4223.726666,0.572793,0.496612,19482454.400000,607378.800000,0.031176,4703891.400000,85.600000,12708679.200000,93.200000,0.000007,3093114.400000,0.000000,0.000000,455.000000,340.400000,0.748132,4.400000,11.000000,2.500000,0.000000,1998672.000000,1856.800000,0.000929,81445205.800000,1.090100
gen_136x136_1,generated 136*136,6.700000,5,136,136,289,32.304683,32.349604,32.143842,32.444972,78155131,78263811,77766007,78494535,4225.515301,0.572549,0.496400,18513123.400000,617400.400000,0.033349,5085715.400000,106.600000,14755244.000000,71.600000,0.000005,3596342.000000,3.800000,0.000001,428.200000,329.600000,0.769734,0.400000,5.200000,13.000000,0.600000,1924700.000000,1850.200000,0.000961,81338542.600000,1.040732
gen_139x139_1,generated 139*139,6.700000,5,139,139,289,33.745699,33.701899,33.633103,33.999021,81641527,81535561,81369123,82254394,4225.533202,0.572547,0.496398,20038279.600000,597875.200000,0.029837,4641972.000000,150.600000,15818804.200000,88.200000,0.000006,4661863.200000,9.400000,0.000002,414.600000,291.800000,0.703811,0.000000,0.000000,0.000000,11.800000,2395536.000000,2562.000000,0.001069,98219268.000000,1.203055
gen_142x142_1,generated 142*142,6.700000,5,142,142,289,35.106690,35.085551,34.997939,35.272645,84934127,84882987,84671024,85335626,4212.166584,0.574363,0.497973,22299783.200000,675300.400000,0.030283,4680441.600000,103.200000,15798203.600000,80.200000,0.000005,4667357.400000,6.200000,0.000001,414.600000,278.600000,0.671973,5.200000,0.000000,0.000000,2.000000,2437737.200000,2615.800000,0.001073,106025666.200000,1.248328
gen_145x145_1,generated 145*145,6.700000,5,145,145,289,36.742213,36.746935,36.631688,36.889481,88891931,88903354,88624534,89248223,4227.915862,0.572230,0.496123,24886483.800000,774822.200000,0.031134,4676701.800000,153.800000,15752749.600000,75.800000,0.000005,4693892.200000,2.600000,0.000001,529.400000,318.600000,0.601813,11.200000,6.200000,0.553571,5.200000,2904449.200000,3089.200000,0.001064,121030953.000000,1.361552
