variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_70x70_1,generated 70*70,6.700000,10,70,70,9,1.482419,1.475181,1.458294,1.569498,3586588,3569078,3528222,3797270,731.956735,3.305409,0.089246,158449.500000,848.800000,0.005357,572279.100000,118.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.300000,0.650000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,90.000000,8.900000,0.098889,467.500000,0.000130
gen_73x73_1,generated 73*73,6.700000,10,73,73,9,1.634765,1.618752,1.609257,1.724888,3955188,3916446,3893475,4173234,742.200788,3.259796,0.088014,190103.600000,909.900000,0.004786,618299.100000,125.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,9.200000,0.103604,462.000000,0.000117
gen_76x76_1,generated 76*76,6.700000,10,76,76,9,1.754235,1.745355,1.730831,1.849647,4244230,4222745,4187606,4475071,734.804363,3.292603,0.088900,34836.500000,701.700000,0.020143,651207.800000,127.900000,230237.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,92.400000,11.000000,0.119048,478.500000,0.000113
gen_79x79_1,generated 79*79,6.700000,10,79,79,9,1.893794,1.895910,1.879488,1.912222,4581868,4586989,4547257,4626453,734.156065,3.295501,0.088979,164159.300000,868.700000,0.005292,654601.400000,120.600000,263617.700000,0.000000,0.000000,0.000000,0.000000,0.000000,4.700000,0.100000,0.021277,0.600000,0.500000,0.833333,0.000000,0.000000,0.000000,92.400000,10.300000,0.111472,478.500000,0.000104
gen_82x82_1,generated 82*82,6.700000,10,82,82,9,2.043137,2.038995,2.030784,2.080397,4943196,4933175,4913309,5033343,735.157049,3.291017,0.088857,436068.900000,1277.400000,0.002929,654044.500000,109.700000,172257.200000,0.000000,0.000000,0.000000,0.000000,0.000000,8.600000,5.200000,0.604651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.800000,9.900000,0.111486,462.000000,0.000093
gen_85x85_1,generated 85*85,6.700000,10,85,85,9,2.223907,2.222676,2.207686,2.263127,5380565,5377588,5341321,5475456,744.714879,3.248787,0.087717,187557.300000,909.200000,0.004848,651173.300000,123.200000,615162.200000,0.000000,0.000000,0.000000,0.000000,0.000000,2.200000,0.500000,0.227273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.600000,10.100000,0.107906,484.000000,0.000090
gen_88x88_1,generated 88*88,6.700000,10,88,88,9,2.360409,2.361684,2.348316,2.372985,5710815,5713899,5681558,5741241,737.450284,3.280787,0.088581,152284.100000,876.900000,0.005758,658471.900000,108.600000,823061.200000,0.000000,0.000000,0.000000,0.000000,0.000000,4.600000,0.100000,0.021739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,94.800000,10.200000,0.107595,489.500000,0.000086
gen_91x91_1,generated 91*91,6.700000,10,91,91,9,2.529368,2.530945,2.512584,2.551097,6119596,6123413,6078988,6172168,738.992392,3.273940,0.088396,452494.600000,1308.500000,0.002892,663069.000000,101.800000,710564.300000,0.000000,0.000000,0.000000,0.000000,0.000000,6.600000,0.700000,0.106061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,10.300000,0.112939,473.000000,0.000077
gen_94x94_1,generated 94*94,6.700000,10,94,94,9,2.709956,2.707114,2.689636,2.779377,6556506,6549631,6507345,6724466,742.021956,3.260570,0.088035,50213.500000,732.200000,0.014582,329524.000000,112.200000,1319274.500000,0.000000,0.000000,145852.000000,0.000000,0.000000,7.500000,0.100000,0.013333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.400000,11.800000,0.113027,533.500000,0.000081
gen_97x97_1,generated 97*97,6.700000,10,97,97,9,2.881606,2.885623,2.863296,2.893872,6971818,6981538,6927519,7001497,740.973323,3.265193,0.088160,442688.300000,1286.800000,0.002907,830847.500000,126.700000,677074.400000,0.000000,0.000000,0.000000,0.000000,0.000000,9.300000,6.900000,0.741935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.200000,9.500000,0.104167,473.000000,0.000068
gen_100x100_1,generated 100*100,6.700000,10,100,100,9,3.091428,3.075371,3.052447,3.188746,7479475,7440627,7385163,7714929,747.947500,3.234751,0.087338,49828.900000,750.100000,0.015054,658298.000000,109.300000,1767537.200000,0.000000,0.000000,303839.600000,0.000000,0.000000,9.000000,4.200000,0.466667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.400000,11.300000,0.108238,533.500000,0.000071
