variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_48x48_1,generated 48*48,1.700000,10,48,48,289,14.315572,14.306511,14.281202,14.391161,34631131,34609211,34547985,34813989,15030.872830,0.160944,0.139538,22486293.100000,37279.900000,0.001658,128.100000,21.400000,0.167057,7790737.100000,1086.000000,0.000139,95226326.100000,2.749732
gen_49x49_1,generated 49*49,1.700000,10,49,49,289,14.838018,14.815997,14.773460,14.925287,35894871,35841601,35738699,36105985,14949.967097,0.161814,0.140293,23450816.800000,41996.000000,0.001791,125.300000,17.600000,0.140463,8123306.800000,1111.800000,0.000137,99308519.800000,2.766649
gen_50x50_1,generated 50*50,1.700000,10,50,50,289,15.596845,15.591229,15.570343,15.670323,37730631,37717044,37666520,37908383,15092.252400,0.160289,0.138970,24435588.300000,45009.400000,0.001842,115.700000,16.900000,0.146067,8462825.300000,21138.600000,0.002498,103476368.300000,2.742503
gen_51x51_1,generated 51*51,1.700000,10,51,51,289,16.285320,16.244721,16.198801,16.550106,39396133,39297922,39186835,40036685,15146.533256,0.159714,0.138472,25440606.800000,48090.400000,0.001890,105.600000,11.400000,0.107955,8809291.800000,21561.800000,0.002448,107729870.800000,2.734529
gen_52x52_1,generated 52*52,1.700000,10,52,52,289,16.877321,16.874939,16.828400,16.938897,40828207,40822447,40709862,40977168,15099.188979,0.160215,0.138906,26465897.900000,48997.900000,0.001851,109.400000,18.400000,0.168190,9162716.900000,21971.100000,0.002398,112069103.900000,2.744894
gen_53x53_1,generated 53*53,1.700000,10,53,53,289,17.601222,17.600140,17.512409,17.712019,42579394,42576778,42364547,42847425,15158.203631,0.159591,0.138366,27511438.900000,62538.700000,0.002273,91.100000,16.700000,0.183315,9523092.900000,22340.800000,0.002346,116493993.900000,2.735924
gen_54x54_1,generated 54*54,1.700000,10,54,54,289,18.213712,18.206168,18.179096,18.292274,44061184,44042934,43977443,44251233,15110.145405,0.160099,0.138806,28577232.400000,75461.300000,0.002641,77.300000,8.400000,0.108668,9890417.400000,22552.800000,0.002280,121004560.400000,2.746285
gen_55x55_1,generated 55*55,1.700000,10,55,55,289,18.965994,18.978995,18.887200,19.052053,45881024,45912475,45690412,46089211,15167.280661,0.159496,0.138283,29663284.800000,127630.400000,0.004303,76.700000,13.200000,0.172099,10264696.800000,22914.100000,0.002232,125600809.800000,2.737533
gen_56x56_1,generated 56*56,1.700000,10,56,56,289,19.611207,19.609156,19.574981,19.657017,47441819,47436858,47354184,47552638,15128.131059,0.159909,0.138641,30769591.200000,173084.400000,0.005625,53.100000,5.000000,0.094162,10645926.200000,26322.800000,0.002473,130282737.200000,2.746158
gen_57x57_1,generated 57*57,1.700000,10,57,57,289,20.348885,20.321343,20.275493,20.536610,49226290,49159663,49048746,49680418,15151.212681,0.159665,0.138429,31896145.400000,220367.000000,0.006909,57.900000,4.400000,0.075993,11034104.400000,26153.000000,0.002370,135050319.400000,2.743459
