variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_70x70_1,generated 70*70,6.700000,5,70,70,289,9.919880,9.906263,9.858839,9.982736,23998844,23965901,23851170,24150909,4897.723265,0.493958,0.428261,8631651.000000,103619.600000,0.012005,1908265.200000,119.600000,9802501.400000,0.400000,0.000000,1893807.400000,0.800000,0.000000,27.800000,16.800000,0.604317,7.200000,0.200000,0.027778,2.400000,0.000000,0.000000,1624875.400000,12577.000000,0.007740,32008387.200000,1.333747
gen_73x73_1,generated 73*73,6.700000,5,73,73,289,11.311950,11.326273,11.211898,11.385547,27366668,27401321,27124615,27544720,5135.422781,0.471095,0.408439,12388883.600000,147471.200000,0.011904,1809471.800000,92.600000,9448804.400000,0.000000,0.000000,1797658.600000,0.000000,0.000000,41.400000,16.200000,0.391304,11.600000,0.600000,0.051724,4.400000,0.000000,0.000000,2171215.800000,21998.400000,0.010132,36389495.200000,1.329701
gen_76x76_1,generated 76*76,6.700000,5,76,76,289,12.009266,12.000332,11.968261,12.072488,29053704,29032091,28954503,29206656,5030.073407,0.480962,0.416994,14803372.200000,177220.200000,0.011972,1845412.800000,88.200000,9608179.400000,0.600000,0.000000,1835862.400000,0.200000,0.000000,49.200000,31.000000,0.630081,6.600000,2.200000,0.333333,2.800000,0.000000,0.000000,2513378.200000,33167.800000,0.013197,37247334.600000,1.282017
gen_79x79_1,generated 79*79,6.700000,5,79,79,289,13.562360,13.563006,13.465481,13.629034,32811296,32812861,32576918,32972601,5257.377984,0.460171,0.398968,18243762.800000,222811.200000,0.012213,1807828.600000,130.400000,9277832.000000,0.200000,0.000000,1761617.200000,0.000000,0.000000,67.800000,36.200000,0.533923,10.400000,0.000000,0.000000,2.200000,0.000000,0.000000,2540307.400000,31469.000000,0.012388,35658359.000000,1.086771
gen_82x82_1,generated 82*82,6.700000,5,82,82,289,13.976469,13.975707,13.946439,14.025906,33812935,33811092,33740284,33932538,5028.693486,0.481094,0.417109,18180608.400000,246673.800000,0.013568,2311790.000000,113.600000,9680339.000000,1.000000,0.000000,1826087.600000,0.200000,0.000000,67.000000,46.200000,0.689552,6.400000,2.000000,0.312500,3.400000,0.000000,0.000000,2650802.600000,31551.400000,0.011903,37329741.400000,1.104008
gen_85x85_1,generated 85*85,6.700000,5,85,85,289,15.622080,15.637905,15.483009,15.708524,37794116,37832400,37457666,38003248,5231.019516,0.462486,0.400976,16601560.400000,228040.200000,0.013736,3298232.800000,152.000000,9236041.000000,1.400000,0.000000,1756575.400000,0.000000,0.000000,79.200000,33.000000,0.416667,9.000000,3.000000,0.333333,1.400000,0.000000,0.000000,2566125.000000,29842.400000,0.011629,36317486.200000,0.960930
gen_88x88_1,generated 88*88,6.700000,5,88,88,289,16.023379,16.014464,15.994128,16.056125,38764947,38743380,38694183,38844170,5005.804106,0.483294,0.419016,18212813.800000,248924.000000,0.013668,3503849.400000,148.000000,9685707.400000,0.600000,0.000000,1833946.400000,0.000000,0.000000,71.400000,30.000000,0.420168,9.800000,7.000000,0.714286,1.000000,0.000000,0.000000,2681215.600000,29980.800000,0.011182,37703417.800000,0.972616
gen_91x91_1,generated 91*91,6.700000,5,91,91,289,17.753395,17.741966,17.716043,17.812955,42950296,42922648,42859932,43094390,5186.607415,0.466446,0.404409,18476503.600000,277455.800000,0.015017,3965977.600000,247.200000,10530012.800000,1.800000,0.000000,1765837.800000,3.200000,0.000002,93.000000,48.800000,0.524731,9.000000,5.400000,0.600000,2.800000,0.000000,2.000000,2585993.200000,27747.400000,0.010730,36116393.800000,0.840888
gen_94x94_1,generated 94*94,6.700000,5,94,94,289,18.284925,18.258688,18.229074,18.352872,44236359,44172884,44101240,44400743,5006.378339,0.483240,0.418969,19085237.200000,259989.000000,0.013623,3656434.600000,237.400000,14956520.600000,6.200000,0.000000,1859892.200000,9.000000,0.000005,97.400000,58.800000,0.603696,6.000000,6.200000,1.033333,5.200000,0.000000,5.000000,2668885.200000,27736.200000,0.010392,37215842.400000,0.841295
gen_97x97_1,generated 97*97,6.700000,5,97,97,289,20.096673,20.061931,20.054921,20.218641,48619252,48535204,48518244,48914326,5167.313423,0.468187,0.405918,17697008.800000,243668.400000,0.013769,3553833.400000,253.800000,18881021.400000,5.600000,0.000000,2935707.000000,13.600000,0.000005,73.000000,35.600000,0.487671,9.000000,5.400000,0.600000,13.000000,0.000000,7.000000,2851261.600000,29214.200000,0.010246,41335839.400000,0.850195
